,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Victory_Rate,Total_Battles,Victory_Counts,Offensive_Power,Defensive_Power,Speed_to_Power_Ratio,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,,Type
115,116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,0,0.6214285714285714,140.0,87.0,0.37195966929662583,0.28582177227846517,0.5989197419196238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
116,117,Lickitung,Normal,,90,55,75,60,75,30,1,0,0.13970588235294118,136.0,19.0,0.20693092160483464,0.318450818647669,0.26308410622662265,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
117,118,Koffing,Poison,,40,65,95,60,45,35,1,0,0.13986013986013987,143.0,20.0,0.23473014940406245,0.20653355830521186,0.2871195181385478,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
118,119,Weezing,Poison,,65,90,120,85,70,60,1,0,0.43410852713178294,129.0,56.0,0.3739098959207655,0.31328583927009124,0.362051887786734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
119,120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,0,0.2857142857142857,119.0,34.0,0.19242487829444352,0.26741657292838394,0.21080943328863022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
120,121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,0,0.4444444444444444,108.0,48.0,0.31647326674500587,0.3622640919885014,0.23070896240609656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
121,122,Chansey,Normal,,250,5,5,35,105,50,1,0,0.15306122448979592,98.0,15.0,0.1625388198757764,0.5913479565054368,1.8787438736612814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
122,123,Tangela,Grass,,65,55,115,100,40,60,1,0,0.3798449612403101,129.0,49.0,0.3469930334060769,0.27201599800024995,0.41331591645993876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
123,124,Kangaskhan,Normal,,105,95,80,40,80,90,1,0,0.753968253968254,126.0,95.0,0.4052396340439819,0.35948631421072363,0.7466439857277302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
124,125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,0,0.8359375,128.0,107.0,0.5015255161994292,0.4055180602424697,0.589173369975843,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
125,126,Horsea,Water,,30,40,70,70,25,60,1,0,0.41353383458646614,133.0,55.0,0.2859618935705892,0.13526121734783153,0.6087550565655772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
126,127,Seadra,Water,,55,65,95,95,45,85,1,0,0.6610169491525424,118.0,78.0,0.42514164008729227,0.23606111736032998,0.5806604586262365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
127,128,Goldeen,Water,,45,67,60,35,50,63,1,0,0.5128205128205128,117.0,60.0,0.2834654608024173,0.18343957005374328,0.7021721842622269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
128,129,Seaking,Water,,80,92,65,65,80,68,1,0,0.4824561403508772,114.0,55.0,0.37229582843713277,0.29360704911886015,0.4674211886620305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
129,130,Staryu,Water,,30,45,55,70,55,85,1,0,0.5633802816901409,142.0,80.0,0.3641472217559174,0.15430883639545057,0.8414139288734563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
130,131,Starmie,Water,Psychic,60,75,85,100,85,115,1,0,0.8992248062015504,129.0,116.0,0.5311629175759611,0.2824115735533059,0.723736384762415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Psychic
131,132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,0,0.5588235294117647,136.0,76.0,0.41919380560684905,0.2624859392575928,0.6876429371151557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fairy
132,133,Scyther,Bug,Flying,70,110,80,55,80,105,1,0,0.8794326241134752,141.0,124.0,0.48874748195400364,0.29058867641544806,0.7027493934554295,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
133,134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,0,0.7333333333333333,135.0,99.0,0.4606167114319288,0.24860329958755156,0.6311064014575023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Ice
134,135,Electabuzz,Electric,,65,83,57,95,85,105,1,0,0.8914728682170543,129.0,115.0,0.5066088215544737,0.2611429821272341,0.6459899283262408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
135,136,Magmar,Fire,,65,95,57,100,85,93,1,0,0.7441860465116279,129.0,96.0,0.49533280174584526,0.2611429821272341,0.5148970204240262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
136,137,Pinsir,Bug,,65,125,100,55,70,85,1,0,0.6532258064516129,124.0,81.0,0.4518748950814168,0.291063617047869,0.5112231810577094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bug
137,138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,0,0.8677685950413223,121.0,105.0,0.5631452492865536,0.337095363079615,0.5144650213660165,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
138,139,Tauros,Normal,,75,100,95,40,70,110,1,0,0.8717948717948718,117.0,102.0,0.46913924794359574,0.30519310086239215,0.8855343643177865,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
139,140,Magikarp,Water,,20,10,55,15,20,80,1,0,0.17985611510791366,139.0,25.0,0.22783594930334058,0.09295713035870516,7.763842934994161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
140,141,Gyarados,Water,Flying,95,125,79,60,100,81,1,0,0.6165413533834586,133.0,82.0,0.44723980191371493,0.3624996875390576,0.47133869598067446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Flying
141,142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,0,0.6788321167883211,137.0,93.0,0.5013672989759946,0.43154730658667667,0.3816561792750179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dark
142,143,Lapras,Water,Ice,130,85,80,85,95,60,1,0,0.43884892086330934,139.0,61.0,0.3671531391640087,0.42655605549306336,0.3736864985443352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ice
143,144,Ditto,Normal,,48,48,48,48,48,48,1,0,0.0,0.0,0.0,0.23259568574785966,0.1736307961504812,0.5584997292818586,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
144,145,Eevee,Normal,,55,55,50,45,65,55,1,0,0.37373737373737376,99.0,37.0,0.25797905825079737,0.20987064116985377,0.619115763007433,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
145,146,Vaporeon,Water,,130,65,60,110,95,65,1,0,0.5227272727272727,132.0,69.0,0.3883792177270438,0.40433383327084116,0.39463181705499634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
146,147,Jolteon,Electric,,65,65,60,110,95,130,1,0,0.9253731343283582,134.0,124.0,0.5740935034413295,0.27638107736532935,0.8221496188645756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
147,148,Flareon,Fire,,65,130,60,95,110,65,1,0,0.5303030303030303,132.0,70.0,0.45583662078227294,0.29423822022247215,0.3011131633512374,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
148,149,Porygon,Normal,,65,60,70,85,75,40,1,0,0.1796875,128.0,23.0,0.2762264982373678,0.26368266466691664,0.28332384481444123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
149,150,Omanyte,Rock,Water,35,40,100,90,55,35,1,0,0.1796875,128.0,23.0,0.24170723518549606,0.21415135608048996,0.2742980915438991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Rock
150,151,Omastar,Rock,Water,70,60,125,115,70,55,1,0,0.35507246376811596,138.0,49.0,0.35984451065972806,0.3286839145106861,0.3288042575321675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Rock
151,152,Kabuto,Rock,Water,30,80,90,55,45,55,1,0,0.4295774647887324,142.0,61.0,0.3053497985563203,0.18129296337957757,0.4389050376602183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Rock
152,153,Kabutops,Rock,Water,60,115,105,65,70,80,1,0,0.7181818181818181,110.0,79.0,0.4376626238039282,0.2867766529183852,0.4791143309796114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Rock
153,154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,0,0.9645390070921985,141.0,136.0,0.560212774886688,0.2876546681664792,0.8782780878183138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Flying
154,155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,0,0.9844961240310077,129.0,127.0,0.6714831290918248,0.3336864141982252,0.8046025915578185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Flying
155,156,Snorlax,Normal,,160,110,65,65,110,30,1,0,0.35714285714285715,112.0,40.0,0.2880487241900285,0.48680164979377577,0.16468050240905707,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
156,157,Articuno,Ice,Flying,90,85,100,95,125,85,1,1,0.6834532374100719,139.0,95.0,0.45216866711431924,0.4057524059492563,0.5105522633633756,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Flying
157,158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,1,0.768595041322314,121.0,93.0,0.5425434362934363,0.347419072615923,0.5001173817467827,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Electric
158,159,Moltres,Fire,Flying,90,100,90,125,85,90,1,1,0.7352941176470589,136.0,100.0,0.5274855212355213,0.3470222472190976,0.42624706065719303,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Fire
159,160,Dratini,Dragon,,41,64,45,50,50,50,1,0,0.36752136752136755,117.0,43.0,0.2626489843881148,0.1588988876390451,0.47857428727016754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dragon
160,161,Dragonair,Dragon,,61,84,65,70,70,70,1,0,0.5,116.0,58.0,0.37399278160147725,0.24430071241094864,0.49253637981976545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dragon
161,162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,0,0.6304347826086957,138.0,87.0,0.5108926473056907,0.3724034495688039,0.36092422047507694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dragon
162,163,Mewtwo,Psychic,,106,110,90,154,90,130,1,1,0.926829268292683,164.0,152.0,0.6946869229477926,0.38447069116360455,0.5286399219178337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
163,164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,1,0.9259259259259259,135.0,125.0,0.8027950310559007,0.4074865641794776,0.40047220896988106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Fighting
164,165,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,1,0.952,125.0,119.0,0.8316602316602317,0.397962754655668,0.43222522438719424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
165,166,Mew,Psychic,,100,100,100,100,100,100,1,0,0.831858407079646,113.0,94.0,0.522089558502602,0.3956755405574303,0.5408861815773879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
166,167,Chikorita,Grass,,45,49,65,49,65,45,2,0,0.275,120.0,33.0,0.22673430417995635,0.20685226846644167,0.5070414562993272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
167,168,Bayleef,Grass,,60,62,80,63,80,60,2,0,0.4336283185840708,113.0,49.0,0.30618075373510156,0.27090363704536935,0.526308095732862,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
168,169,Meganium,Grass,,80,82,100,83,100,80,2,0,0.6821705426356589,129.0,88.0,0.41752455094846397,0.35630546181727285,0.5265294101633169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
169,170,Cyndaquil,Fire,,39,52,43,60,50,65,2,0,0.5041322314049587,121.0,61.0,0.3028768675507806,0.15273965754280716,0.6508382282694631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
170,171,Quilava,Fire,,58,64,58,80,65,80,2,0,0.609271523178808,151.0,92.0,0.38912413966761794,0.22466504186976627,0.6119356942593817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
171,172,Typhlosion,Fire,,78,84,78,109,85,100,2,0,0.8620689655172413,116.0,100.0,0.5126961977505455,0.3100668666416698,0.5619229030239021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
172,173,Totodile,Water,,50,65,64,44,48,43,2,0,0.2196969696969697,132.0,29.0,0.23584816182642268,0.1953455818022747,0.42568105447481447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
173,174,Croconaw,Water,,65,80,80,59,63,58,2,0,0.4411764705882353,136.0,60.0,0.3193560097364445,0.2605080614923134,0.45020477464807007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
174,175,Feraligatr,Water,,85,105,100,79,83,78,2,0,0.5869565217391305,138.0,81.0,0.4374565637065637,0.345909886264217,0.45512755703838503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
175,176,Sentret,Normal,,35,46,34,35,45,20,2,0,0.072,125.0,9.0,0.1322299395668961,0.1289132608423947,0.2390973303139452,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
176,177,Furret,Normal,,85,76,64,45,55,90,2,0,0.6739130434782609,138.0,93.0,0.38635743662917577,0.2725765529308837,0.8447187706004936,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
177,178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,0,0.32432432432432434,111.0,36.0,0.1976812993117341,0.1867766529183852,0.9268430520352365,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
178,179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,0,0.5,136.0,68.0,0.3361990095685748,0.33535808023997,0.6160302051364435,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
179,180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,0,0.22764227642276422,123.0,28.0,0.2038882826926305,0.1759780027496563,1.1655881666092547,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
180,181,Ledian,Bug,Flying,55,35,50,55,110,85,2,0,0.6277372262773723,137.0,86.0,0.33025327345979516,0.26344206974128237,1.1211973491785352,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
181,182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,0,0.0948905109489051,137.0,13.0,0.18651376531811314,0.1394700662417198,0.30965644145437365,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
182,183,Ariados,Bug,Poison,70,90,70,60,60,40,2,0,0.0,0.0,0.0,0.28279964747356057,0.25566804149481315,0.2731499387739708,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
183,184,Crobat,Poison,Flying,85,90,80,70,80,130,2,0,0.9262295081967213,122.0,113.0,0.5535294611381568,0.3201162354705662,0.9081291323343699,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flying
184,185,Chinchou,Water,Electric,75,38,38,56,56,67,2,0,0.5263157894736842,114.0,60.0,0.28423745173745174,0.2251931008623922,0.8251130753805896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Electric
185,186,Lanturn,Water,Electric,125,58,58,76,76,67,2,0,0.515625,128.0,66.0,0.338438391807957,0.3696500437445319,0.5482753129329513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Electric
186,187,Pichu,Electric,,20,40,15,35,35,60,2,0,0.34285714285714286,105.0,36.0,0.23840754574450226,0.06636982877140357,0.9638928875187146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
187,188,Cleffa,Fairy,,50,25,28,45,55,15,2,0,0.0625,112.0,7.0,0.10315280342454256,0.16367891513560806,0.19090540984654658,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
188,189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,0,0.043478260869565216,115.0,5.0,0.10311608192042974,0.18630796150481188,0.1909991375861502,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fairy
189,190,Togepi,Fairy,,35,20,65,40,65,20,2,0,0.02459016393442623,122.0,3.0,0.10388828269263052,0.18716722909636296,0.3496764499827764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
190,191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,0,0.23622047244094488,127.0,30.0,0.2424059929494712,0.2963785776777903,0.3504935121632781,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fairy
191,192,Natu,Psychic,Flying,40,50,45,70,45,70,2,0,0.5517241379310345,116.0,64.0,0.32804683565553133,0.15097800274965628,0.6512518039227575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Flying
192,193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,0,0.7272727272727273,121.0,88.0,0.46722658217223434,0.25773028371453566,0.6112734824311747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Flying
193,194,Mareep,Electric,,55,40,40,65,45,35,2,0,0.16428571428571428,140.0,23.0,0.20773984388114825,0.17495000624921886,0.35049639927759024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
194,195,Flaaffy,Electric,,70,55,55,80,60,45,2,0,0.2222222222222222,108.0,24.0,0.27696197750545576,0.23900137482814648,0.35072833571213485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
195,196,Ampharos,Electric,,90,75,85,115,90,55,2,0,0.3445378151260504,119.0,41.0,0.3801147809299983,0.347419072615923,0.30074220773759164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
196,197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,0,0.2890625,128.0,37.0,0.4465051619942924,0.39345081864766906,0.17187400988780477,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon
197,198,Bellossom,Grass,,75,80,95,90,100,50,2,0,0.2158273381294964,139.0,30.0,0.33861843209669296,0.3409073865766779,0.30569011069143076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
198,199,Marill,Water,Fairy,70,20,50,20,50,40,2,0,0.1557377049180328,122.0,19.0,0.1338572267920094,0.22154105736782903,1.465964978768486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Fairy
199,200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,0,0.34375,128.0,44.0,0.25731702199093504,0.3496437945256843,0.49835589403934716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Fairy
200,201,Sudowoodo,Rock,,70,100,115,30,65,30,2,0,0.24390243902439024,123.0,30.0,0.22698086285042807,0.3116204224471941,0.22922824425979882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Rock
201,202,Politoed,Water,,90,75,75,90,100,70,2,0,0.5462184873949579,119.0,65.0,0.3890045324827934,0.34821272340957377,0.4562102303175059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
202,203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,0,0.40336134453781514,119.0,48.0,0.2030793604163169,0.14748468941382326,0.8599183083220869,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Flying
203,204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,0,0.5546218487394958,119.0,66.0,0.3158941161658553,0.20987064116985377,1.0518804061832272,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Flying
204,205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,0,0.8444444444444444,135.0,114.0,0.42870887191539364,0.30717722784651913,1.1631615395830295,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Flying
205,206,Aipom,Normal,,55,70,55,40,55,85,2,0,0.7073170731707317,123.0,87.0,0.35717013597448377,0.2035214348206474,0.8869760247436084,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
206,207,Sunkern,Grass,,30,30,30,30,30,30,2,0,0.12612612612612611,111.0,14.0,0.13238626825583347,0.09676915385576804,0.5834933769044957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
207,208,Sunflora,Grass,,75,75,55,105,85,30,2,0,0.1619718309859155,142.0,23.0,0.29509925297968775,0.2786057992750906,0.1594952528140323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Grass
208,209,Yanma,Bug,Flying,65,65,45,75,45,95,2,0,0.72,125.0,90.0,0.4265391556152426,0.20019060117485316,0.7578793627044982,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
209,210,Wooper,Water,Ground,55,45,45,25,25,15,2,0,0.048,125.0,6.0,0.10300591740809133,0.15669603799525061,0.19128087382317868,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Ground
210,211,Quagsire,Water,Ground,95,85,85,65,65,35,2,0,0.2571428571428571,140.0,36.0,0.26855065469195905,0.3274996875390576,0.2340815599569246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Ground
211,212,Espeon,Psychic,,65,65,60,130,95,110,2,0,0.823943661971831,142.0,117.0,0.5441245593419506,0.27638107736532935,0.6138118485161405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
212,213,Umbreon,Dark,,95,65,110,60,130,65,2,0,0.5275590551181102,127.0,67.0,0.3204444351183482,0.4326584176977878,0.5742390362770956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dark
213,214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,0,0.8227848101265823,158.0,130.0,0.4557245677354373,0.1834433195850519,0.5843097977238696,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dark
214,215,Slowking,Water,Psychic,95,75,80,100,110,30,2,0,0.24242424242424243,132.0,32.0,0.28830577471881824,0.3755155605549306,0.16448554199145793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Psychic
215,216,Misdreavus,Ghost,,60,60,60,85,85,85,2,0,0.631578947368421,133.0,84.0,0.40479792680879634,0.2546337957755281,0.6475973595758656,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Ghost
216,217,Unown,Psychic,,48,72,48,72,48,48,2,0,0.25984251968503935,127.0,33.0,0.297636813832466,0.1736307961504812,0.3509609032929739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
217,218,Wobbuffet,Psychic,,190,33,58,33,58,33,2,0,0.13432835820895522,134.0,18.0,0.14908783783783786,0.4761742282214723,0.5768855973494446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
218,219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,0,0.578125,128.0,74.0,0.43861843209669293,0.25606486689163854,0.5434490856736547,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Normal
219,220,Pineco,Bug,,50,65,90,35,35,15,2,0,0.14678899082568808,109.0,16.0,0.14361990095685748,0.2087582802149731,0.12390202567436334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bug
220,221,Forretress,Bug,Steel,75,90,140,60,60,40,2,0,0.3008130081300813,123.0,37.0,0.28279964747356057,0.3432883389576303,0.2731499387739708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bug
221,222,Dunsparce,Normal,,100,70,70,65,65,45,2,0,0.1897810218978102,137.0,26.0,0.27685181299311734,0.3206755405574303,0.35096564526796953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
222,223,Gligar,Ground,Flying,65,75,105,35,65,85,2,0,0.6940298507462687,134.0,93.0,0.35713341447037095,0.2906667916510436,0.8872288823757092,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Flying
223,224,Steelix,Steel,Ground,75,85,200,55,65,30,2,0,0.16778523489932887,149.0,25.0,0.24067798388450562,0.4159073865766779,0.21070448089942834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Ground
224,225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,0,0.3448275862068966,145.0,50.0,0.2947320379385597,0.48495500562429694,0.15975724408053416,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Ground
225,226,Snubbull,Fairy,,60,80,50,40,40,30,2,0,0.15328467153284672,137.0,21.0,0.21354079234514017,0.18995125609298838,0.2508691244372764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
226,227,Granbull,Fairy,,90,120,75,60,60,45,2,0,0.29411764705882354,119.0,35.0,0.3376259022998153,0.3005936757905262,0.2555696099654129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
227,228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,0,0.6933333333333334,150.0,104.0,0.4113343545408763,0.24542869641294837,0.6244679914291584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Poison
228,229,Scizor,Bug,Steel,70,130,100,55,80,65,2,0,0.608,125.0,76.0,0.4014887946953164,0.3128108986376703,0.37216882732561785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bug
229,230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,0,0.55,140.0,77.0,0.47067420681551114,0.38106486689163854,0.36910692173068216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bug
230,231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,0,0.0,135.0,0.0,0.006756756756756757,0.5374015748031497,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bug
231,232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,0,0.6911764705882353,136.0,94.0,0.4314944602988081,0.32257530308711413,0.5625043506712272,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bug
